Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2018-12,Low,17167184.0,,,,,,,,,,,,,,,
2018-12,Total,26307154.0,,,,,,,,,,,,,,,
2019-01,High,4862498.0,,,,,,,,,,,,,,,
2019-01,Medium,3767130.0,,,,,,,,,,,,,,,
2019-01,Low,14722855.0,,,,,,,,,,,,,,,
2019-01,Total,23352483.0,,,,,,,,,,,,,,,
2019-02,High,4220161.0,,,,,,,,,,,,,,,
2019-02,Medium,3391721.0,,,,,,,,,,,,,,,
2019-02,Low,14104688.0,,,,,,,,,,,,,,,
2019-02,Total,21716570.0,,,,,,,,,,,,,,,
2019-03,High,5701796.0,,,,,,,,,,,,,,,
2019-03,Medium,4441894.0,,,,,,,,,,,,,,,
2019-03,Low,18212707.0,,,,,,,,,,,,,,,
2019-03,Total,28356397.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019-04,High,5308112.0,,,,,,,,,,,,,,,
2019-04,Medium,3760269.0,,,,,,,,,,,,,,,
2019-04,Low,14568095.0,,,,,,,,,,,,,,,
2019-04,Total,23636475.0,,,,,,,,,,,,,,,
2019-05,High,8090527.0,,,,,,,,,,,,,,,
2019-05,Medium,5764378.0,,,,,,,,,,,,,,,
2019-05,Low,20396821.0,,,,,,,,,,,,,,,
2019-05,Total,34251726.0,,,,,,,,,,,,,,,
2019-06,High,6343167.0,,,,,,,,,,,,,,,
2019-06,Medium,4560392.0,,,,,,,,,,,,,,,
2019-06,Low,16627289.0,,,,,,,,,,,,,,,
2019-06,Total,27530848.0,,,,,,,,,,,,,,,
2019-07,High,5379462.0,,,,,,,,,,,,,,,
2019-07,Medium,3983081.0,,,,,,,,,,,,,,,
2019-07,Low,16610767.0,,,,,,,,,,,,,,,
2019-07,Total,25973310.0,,,,,,,,,,,,,,,
2019-08,High,4871773.0,,,,,,,,,,,,,,,
2019-08,Medium,3887641.0,,,,,,,,,,,,,,,
2019-08,Low,17442073.0,,,,,,,,,,,,,,,
2019-08,Total,26201487.0,,,,,,,,,,,,,,,
2019-09,High,3879344.0,,,,,,,,,,,,,,,
2019-09,Medium,3268112.0,,,,,,,,,,,,,,,
2019-09,Low,14770567.0,,,,,,,,,,,,,,,
2019-09,Total,21918023.0,,,,,,,,,,,,,,,
2019-10,High,3568579.0,,,,,,,,,,,,,,,
2019-10,Medium,3349151.0,,,,,,,,,,,,,,,
2019-10,Low,14345677.0,,,,,,,,,,,,,,,
2019-10,Total,21263407.0,,,,,,,,,,,,,,,
2019-11,High,6550656.0,,,,,,,,,,,,,,,
2019-11,Medium,4160108.0,,,,,,,,,,,,,,,
2019-11,Low,13315362.0,,,,,,,,,,,,,,,
2019-11,Total,24026126.0,,,,,,,,,,,,,,,
2019-12,High,4270633.0,,,,,,,,,,,,,,,
2019-12,Medium,2838194.0,,,,,,,,,,,,,,,
2019-12,Low,14784992.0,,,,,,,,,,,,,,,
2019-12,Total,21893818.0,,,,,,,,,,,,,,,
2020-01,High,5085171.0,,,,,,,,,,,,,,,
2020-01,Medium,3519689.0,,,,,,,,,,,,,,,
2020-01,Low,13338052.0,,,,,,,,,,,,,,,
